Date,Time,"CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","VR VCC Temperature (SVID) [°C]","CPU Package Power [W]","IA Cores Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit (Static) [W]","PL2 Power Limit (Static) [W]","VR VCC Power (SVID POUT) [W]","GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Thermal Limit [°C]","GPU Power [W]","GPU Rail Powers (avg) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU Misc0 Input Power [W]","GPU Core (NVVDD2) Input Power (sum) [W]","GPU Input PP Source Power (sum) [W]","GPU Core (NVVDD) Output Power [W]","GPU Core (NVVDD) Output Power [W]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usages (avg) [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU VR Usage [%]",
26.3.2025,12:37:52.174,39,39,38,38,11.122,4.375,5.016,0.732,202.0,241.0,24.000,43.5,50.7,83.0,14.255,6.056,7.541,3.307,11.249,6.721,6.797,7.768,1.097,3.970,6.0,14.0,0.0,0.0,9.3,0.2,1.0,0.0,0.0,0.0,
26.3.2025,12:37:53.177,39,39,38,38,10.078,3.316,5.025,0.738,202.0,241.0,24.000,43.5,50.7,83.0,14.561,6.185,7.472,3.514,11.516,7.023,6.729,8.305,1.098,3.823,5.0,31.0,0.0,0.0,9.3,0.1,0.4,0.0,0.0,0.0,
26.3.2025,12:37:54.177,39,39,38,38,12.226,5.456,5.033,0.738,202.0,241.0,24.000,43.5,50.7,83.0,14.455,5.965,8.246,3.091,11.098,6.144,7.418,6.775,1.130,3.815,0.0,26.0,0.0,0.0,9.3,0.1,0.5,0.0,0.0,0.0,
26.3.2025,12:37:55.177,39,39,38,38,10.256,3.543,4.988,0.724,202.0,241.0,24.000,43.5,50.7,83.0,13.422,5.557,8.745,2.594,10.278,5.023,7.880,5.002,1.330,3.602,0.0,37.0,0.0,0.0,9.3,0.1,0.2,0.0,0.0,0.0,
26.3.2025,12:37:56.171,39,39,38,38,8.522,1.862,4.946,0.715,202.0,241.0,24.000,43.5,50.7,83.0,13.291,5.628,9.017,2.641,10.468,5.058,8.115,4.997,1.089,3.641,0.0,33.0,0.0,0.0,9.3,0.0,0.1,0.0,0.0,0.0,
26.3.2025,12:37:57.177,39,39,38,38,9.898,3.207,4.971,0.723,202.0,241.0,24.000,43.5,50.7,83.0,14.308,6.295,7.468,3.550,11.807,7.324,6.723,8.639,1.100,3.752,8.0,16.0,0.0,0.0,9.3,0.4,1.7,0.0,0.0,0.0,
26.3.2025,12:37:58.168,39,39,38,38,10.224,3.485,5.005,0.733,202.0,241.0,56.000,43.5,50.7,83.0,13.563,5.636,9.179,2.582,10.512,5.012,8.263,4.848,1.089,3.605,0.0,33.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,
26.3.2025,12:37:59.170,39,39,38,38,26.784,19.886,5.139,0.758,202.0,241.0,16.000,43.5,50.7,83.0,13.814,5.700,9.001,2.728,10.584,5.193,8.097,5.227,1.091,3.676,0.0,23.0,0.0,0.0,9.3,0.2,0.6,0.0,0.0,0.0,
26.3.2025,12:38:0.165,39,39,38,38,8.820,2.137,4.964,0.719,202.0,241.0,24.000,43.5,50.7,83.0,13.335,5.569,9.039,2.618,10.339,4.914,8.138,4.828,1.087,3.592,0.0,25.0,0.0,0.0,9.3,0.1,0.3,0.0,0.0,0.0,
Date,Time,"CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","VR VCC Temperature (SVID) [°C]","CPU Package Power [W]","IA Cores Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit (Static) [W]","PL2 Power Limit (Static) [W]","VR VCC Power (SVID POUT) [W]","GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Thermal Limit [°C]","GPU Power [W]","GPU Rail Powers (avg) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU Misc0 Input Power [W]","GPU Core (NVVDD2) Input Power (sum) [W]","GPU Input PP Source Power (sum) [W]","GPU Core (NVVDD) Output Power [W]","GPU Core (NVVDD) Output Power [W]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usages (avg) [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU VR Usage [%]",
,,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,CPU [#0]: Intel Core i5-12400: Enhanced,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,GPU [#0]: NVIDIA GeForce RTX 3060,
